Energy (keV_ee),Sigma_x (pixels),Front Surface Probability,Bulk Probability,Back Surface Probability
3.20844,0.494864,0,1,0
3.02399,0.0370838,0.888026,0.111974,0
1.99766,0.672592,0,1,0
0.241181,0.897444,0,0.173862,0.826138
3.46958,0.737634,0,1,0
2.89877,0.293778,0.0615667,0.938433,0
4.82019,1.0403,0,0.0218346,0.978165
0.832896,0.491516,0,1,0
2.46461,0.0386104,0.931565,0.0684352,0
3.17024,0.0350196,0.890887,0.109113,0
1.85753,0.884612,0,0.703691,0.296309
1.39464,0.929293,0,0.176754,0.823246
1.14532,0.899473,0,0.391437,0.608563
4.32917,0.947826,0,0.565339,0.434661
4.39602,0.99362,0,0.121322,0.878678
0.831323,0.540688,0,1,0
4.01687,0.982626,0,0.106095,0.893905
3.69751,0.396477,0,1,0
0.27363,0.193663,0.361861,0.638139,0
4.08448,0.31171,0.0628055,0.937195,0
2.30818,0.489472,0,1,0
4.44789,0.880577,0,0.997767,0.00223323
2.18335,0.844858,0,0.990731,0.00926916
2.769,0.916696,0,0.636079,0.363921
5.34232,0.989739,0,0.129863,0.870137
4.4358,0.753404,0,1,0
3.90382,0.0249593,0.816288,0.183712,0
2.34485,0.0407148,0.924513,0.0754867,0
0.942394,0.987938,0,0.0921389,0.907861
1.87329,0.432709,0,1,0
2.60507,0.434417,0,1,0
2.87126,0.855939,0,0.981473,0.0185274
0.514822,0.889528,0,0.196868,0.803132
3.83981,0.979288,0,0.114377,0.885623
0.157235,0.838655,0,0.152845,0.847155
0.314926,0.884431,0,0.164483,0.835517
0.347479,0.568029,0,0.98686,0.0131399
1.71611,0.96134,0,0.107421,0.892579
5.68022,0.683002,0,1,0
0.892207,0.740459,0,1,0
2.50165,0.957569,0,0.145059,0.854941
1.69074,0.963523,0,0.124824,0.875176
0.418124,0.798355,0,0.533614,0.466386
3.28752,0.0115582,0.851095,0.148905,0
2.94134,0.967287,0,0.155253,0.844747
2.6445,0.5334,0,1,0
1.31864,0.189818,0.353195,0.646805,0
1.24329,1.00491,0,0.0631714,0.936829
3.26454,0.678827,0,1,0
5.17757,0.151782,0.479728,0.520272,0
4.91723,0.798795,0,1,0
3.31022,0.608338,0,1,0
0.893125,0.927607,0,0.356907,0.643093
2.69275,0.89733,0,0.886528,0.113472
3.79364,0.042574,0.871347,0.128653,0
2.92219,0.836403,0,1,0
1.82884,0.0208808,0.907753,0.0922468,0
2.69831,0.555722,0,1,0
0.586127,0.990198,0,0.0965699,0.90343
0.0548847,0.218333,0.202908,0.694845,0.102248
2.98588,0.974698,0,0.130407,0.869593
3.47119,0.942527,0,0.39354,0.60646
2.14604,0.0800181,0.807491,0.192509,0
3.52339,0.667296,0,1,0
2.74118,0.987028,0,0.0842896,0.91571
0.442399,0.910663,0,0.223209,0.776791
3.69029,0.670935,0,1,0
2.34585,0.414369,0,1,0
2.42287,0.0989702,0.862737,0.137263,0
3.93614,0.321659,0.0344159,0.965584,0
0.107604,0.177738,0.14613,0.777196,0.0766744
3.79396,0.753497,0,1,0
0.913592,0.0605522,0.698931,0.301069,0
2.6085,0.740699,0,1,0
1.74622,0.175527,0.718935,0.281065,0
0.297726,0.876872,0,0.161632,0.838368
3.14612,0.330758,0.0193553,0.980645,0
0.825772,0.522709,0,1,0
1.59394,0.999752,0,0.0839538,0.916046
3.49155,0.0316915,0.900575,0.0994247,0
2.37755,0.219619,0.17655,0.82345,0
3.27174,0.202591,0.176202,0.823798,0
5.11922,1.00311,0,0.0472702,0.95273
2.39057,0.972518,0,0.167052,0.832948
1.22618,0.0752168,0.870432,0.129568,0
4.73132,0.0480014,0.919202,0.0807981,0
1.36241,0.176253,0.447742,0.552258,0
0.86359,0.772922,0,0.99873,0.00126962
1.6733,0.948704,0,0.220968,0.779032
2.36585,0.650585,0,1,0
1.22607,0.746413,0,1,0
2.82701,0.954366,0,0.119294,0.880706
0.672078,0.948609,0,0.189765,0.810235
0.504382,0.92243,0,0.164909,0.835091
2.51999,0.983729,0,0.0698954,0.930105
0.773647,0.558147,0,1,0
4.32546,0.221802,0.187498,0.812502,0
2.009,1.00881,0,0.0595592,0.940441
2.5122,0.38912,0,1,0
0.755957,0.943023,0,0.147669,0.852331
5.82811,0.786836,0,1,0
4.94778,0.362374,0.00224086,0.997759,0
5.20465,0.743325,0,1,0
3.01803,0.958964,0,0.146473,0.853527
1.04141,0.967381,0,0.130544,0.869456
4.05073,0.0107695,0.925984,0.0740162,0
1.39491,0.037922,0.876295,0.123705,0
3.15617,0.957795,0,0.180764,0.819236
0.166528,0.343668,0.0672672,0.913071,0.0196621
2.31527,1.02339,0,0.0578648,0.942135
1.73903,0.959781,0,0.0984155,0.901585
5.93452,0.097541,0.810346,0.189654,0
0.859932,0.740756,0,1,0
0.461933,0.887694,0,0.247012,0.752988
3.66613,0.998856,0,0.111598,0.888402
3.54566,0.564833,0,1,0
0.121584,0.698347,0.000604169,0.26387,0.735526
4.38687,0.0962794,0.829894,0.170106,0
3.76866,0.123212,0.690587,0.309413,0
1.61096,0.597778,0,1,0
1.73491,0.99362,0,0.0581103,0.94189
3.35068,0.947196,0,0.338836,0.661164
1.35403,0.221899,0.238931,0.761069,0
1.33241,0.955371,0,0.108118,0.891882
3.09728,0.292352,0.0687253,0.931275,0
0.129239,0.938838,0,0.141439,0.858561
0.430828,0.886666,0,0.210786,0.789214
0.481723,0.174549,0.67742,0.32258,0
4.29924,0.103468,0.674101,0.325899,0
0.803396,0.0355039,0.585922,0.414078,0
3.5069,0.15623,0.431247,0.568753,0
2.39671,0.101954,0.676339,0.323661,0
4.65124,0.900365,0,0.95033,0.0496704
1.74215,0.107124,0.919456,0.0805435,0
2.00311,0.966986,0,0.121847,0.878153
5.36551,0.991714,0,0.171858,0.828142
0.946366,0.962245,0,0.113129,0.886871
0.339103,0.584822,0,0.98796,0.0120397
0.757691,0.913773,0,0.226527,0.773473
5.75239,0.877871,0,1,0
2.93948,0.575823,0,1,0
1.92519,0.361669,0.00975512,0.990245,0
